_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-4.926529764149919,M2660,M1,1,0,Oncogenic Signatures,4,CSR LATE UP.V1 UP,,-4.926529764149919,28.068582020389247,10.25080724983098,30286,166,26,4,15.384615384615385,7.07589393082923,1503|4502|4522|4605,CTPS1|MT2A|MTHFD1|MYBL2,-0.6983853346006477,0,1,1,1,-4.926529764149919,28.068582020389247,
1,-3.305782913324553,GO:0019752,M1,1,0,GO Biological Processes,19,carboxylic acid metabolic process,19_GO:0008152 metabolic process,-3.305782913324553,7.381788047187286,5.32424405822235,30286,789,26,5,19.23076923076923,7.729201466043273,1503|3418|4522|5973|9446,CTPS1|IDH2|MTHFD1|RENBP|GSTO1,-0.15941120931721067,0,1,0,0,-4.926529764149919,28.068582020389247,
1,-3.180852001797783,M5934,M1,1,0,Hallmark Gene Sets,23,HALLMARK XENOBIOTIC METABOLISM,,-3.180852001797783,17.472692307692306,6.851148163919568,30286,200,26,3,11.538461538461538,6.265626800161944,4502|4522|9446,MT2A|MTHFD1|GSTO1,-0.14362476721550865,0,1,0,0,-4.926529764149919,28.068582020389247,
1,-2.001692350487949,GO:0009117,M1,1,0,GO Biological Processes,19,nucleotide metabolic process,19_GO:0008152 metabolic process,-2.001692350487949,6.668966529653552,3.837112048451115,30286,524,26,3,11.538461538461538,6.265626800161944,1503|3418|4522,CTPS1|IDH2|MTHFD1,0.0,0,1,0,0,-4.926529764149919,28.068582020389247,
1,-1.983879070644854,GO:0006753,M1,1,0,GO Biological Processes,19,nucleoside phosphate metabolic process,19_GO:0008152 metabolic process,-1.983879070644854,6.568681318681318,3.798407046955344,30286,532,26,3,11.538461538461538,6.265626800161944,1503|3418|4522,CTPS1|IDH2|MTHFD1,0.0,0,1,0,0,-4.926529764149919,28.068582020389247,
1,-1.8455076375839992,GO:0055086,M1,1,0,GO Biological Processes,19,nucleobase-containing small molecule metabolic process,19_GO:0008152 metabolic process,-1.8455076375839992,5.83395402594067,3.502666363189347,30286,599,26,3,11.538461538461538,6.265626800161944,1503|3418|4522,CTPS1|IDH2|MTHFD1,0.0,0,1,0,0,-4.926529764149919,28.068582020389247,
1,-4.608727668425704,M5925,M1,1,0,Hallmark Gene Sets,23,HALLMARK E2F TARGETS,,-4.608727668425704,23.296923076923076,9.273500697161857,30286,200,26,4,15.384615384615385,7.07589393082923,1503|4605|9837|11004,CTPS1|MYBL2|GINS1|KIF2C,-0.6983853346006477,0,2,1,1,-4.608727668425704,24.96098901098901,
1,-4.206025341579651,GO:1903047,M1,1,0,GO Biological Processes,19,mitotic cell cycle process,19_GO:0009987 cellular process,-4.206025341579651,11.533130236100531,6.996800739809095,30286,505,26,5,19.23076923076923,7.729201466043273,901|4605|9837|9928|11004,CCNG2|MYBL2|GINS1|KIF14|KIF2C,-0.515585593222033,0,2,0,0,-4.608727668425704,24.96098901098901,
1,-3.8953369339860324,GO:0000278,M1,1,0,GO Biological Processes,19,mitotic cell cycle,19_GO:0009987 cellular process,-3.8953369339860324,9.905154369440083,6.391937429260288,30286,588,26,5,19.23076923076923,7.729201466043273,901|4605|9837|9928|11004,CCNG2|MYBL2|GINS1|KIF14|KIF2C,-0.38098844468409554,0,2,0,0,-4.608727668425704,24.96098901098901,
1,-3.6335613686398576,GO:0000070,M1,1,0,GO Biological Processes,19,mitotic sister chromatid segregation,19_GO:0009987 cellular process,-3.6335613686398576,24.96098901098901,8.329518777058182,30286,140,26,3,11.538461538461538,6.265626800161944,4605|9928|11004,MYBL2|KIF14|KIF2C,-0.30508483379084883,0,2,0,0,-4.608727668425704,24.96098901098901,
